
@RELATION iris

@ATTRIBUTE lat	REAL
@ATTRIBUTE long 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/School 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/TourismThing 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/HistoricThing 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/University 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/EmergencyThing 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/Restaurant 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/Shop 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/RailwayThing 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/SportThing 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/ManMadeThing 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/Office 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/Museum 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/Hospital 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/Leisure 	REAL
@ATTRIBUTE http://linkedgeodata.org/ontology/Cinema 	REAL

@DATA
0.49615357909513413,0.34436280145111664,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5102802227290552,0.10176490591347619,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33386642013786666,0.10979441640133489,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45434239275366844,0.20513275989836835,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4316148670613417,0.18689279593057945,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44151940047144345,0.42917606158331834,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4398959258928217,0.7671385877065737,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48947888036785886,0.6693409760588677,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4924148029781154,0.8066858181747455,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5086289602482089,0.3734484906545186,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5594386486920695,0.42455290822948555,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1696078607152282,0.617087820125116,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16847648243426255,0.6279849906262195,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18449958394890106,0.5941721378724831,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5532303867289176,0.6116551648641249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.10920032379392253,0.6826781017141197,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.960992589364728,0.7175042293018128,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40116877320926225,0.3114652601391348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
